Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Walking,2020-04-11 16:43:52,false,"Bloomington Walking","2.00","258","00:37:05","77","90","104","126","18:32","8:59","50","52","0.84","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.69","3","0.0"
Running,2020-04-10 12:29:47,false,"Bloomington Running","3.00","397","00:45:32","112","152","118","152","15:12","7:30","71","73","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","12:06.88","3","0.0"
Running,2020-04-08 12:24:59,false,"Bloomington Running","3.65","493","00:53:41","110","148","118","210","14:41","7:25","70","73","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","11:10.64","4","0.0"
Running,2020-04-07 17:00:06,false,"Bloomington Running","2.52","325","00:45:16","82","111","102","166","17:59","7:19","57","58","0.87","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","09:06.78","3","0.0"
Running,2020-04-05 12:59:27,false,"Bloomington Running","3.21","433","00:45:50","112","152","120","158","14:16","8:48","58","58","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","03:37.31","4","0.0"
Running,2020-04-03 15:28:07,false,"Bloomington Running","2.71","353","00:42:16","100","149","114","238","15:37","10:00","62","60","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","12:06.50","3","0.0"
Walking,2020-04-02 16:23:09,false,"Bloomington Walking","0.75","105","00:17:23","78","93","102","122","23:12","8:19","15","18","0.68","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2020-04-02 12:48:58,false,"Bloomington Running","2.34","306","00:32:22","111","148","124","150","13:50","1:59","36","36","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:48.79","3","0.0"
Running,2020-03-30 14:57:58,false,"McLean County Running","2.40","234","00:36:06","110","139","116","146","15:04","2:40","12","46","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","07:13.84","3","0.0"
Running,2020-03-25 17:37:04,false,"Bloomington Running","0.79","94","00:08:57.6","124","140","144","148","11:23","5:16","10","9","0.98","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Walking,2020-03-25 17:26:24,false,"Bloomington Walking","0.46","52","00:09:06.3","79","90","102","122","19:56","4:53","11","5","0.79","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Walking,2020-03-24 17:41:04,false,"Bloomington Walking","2.00","248","00:40:07","78","117","104","122","20:02","4:27","40","40","0.77","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:06.61","3","0.0"
Walking,2020-03-20 16:55:04,false,"Bloomington Walking","1.32","175","00:23:48","86","111","106","146","18:04","3:26","24","27","0.84","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","06:13.08","2","0.0"
Walking,2020-03-17 17:36:12,false,"Bloomington Walking","1.64","218","00:32:30","91","163","100","144","19:49","0:52","34","35","0.81","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","13:25.35","2","0.0"
Running,2020-03-17 17:02:59,false,"Bloomington Running","1.14","133","00:11:49","133","152","144","148","10:24","6:23","3","10","1.07","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:33.72","2","0.0"
Running,2020-03-15 13:58:24,false,"Bloomington Running","1.00","130","00:11:20","133","147","144","150","11:19","9:20","13","13","0.99","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:01.70","2","0.0"
Walking,2020-03-15 13:19:42,false,"Bloomington Walking","1.78","235","00:36:24","81","115","102","122","20:24","7:19","37","37","0.77","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","16:42.09","2","0.0"
Treadmill Running,2020-03-11 12:11:30,false,"Treadmill Running","0.94","51","00:16:04","78","84","106","112","17:08","15:21","--","--","0.89","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Walking,2020-03-09 11:44:02,false,"Bloomington Walking","1.65","214","00:29:33","84","110","106","126","17:53","0:59","8","8","0.85","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","12:22.72","2","0.0"
Walking,2020-03-08 15:14:03,false,"Bloomington Walking","2.05","265","00:35:17","87","104","106","152","17:12","11:35","35","37","0.88","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:18.26","3","0.0"
Running,2020-03-05 17:56:24,false,"Bloomington Running","1.07","136","00:18:42","103","109","104","122","17:24","0:27","17","16","0.89","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:32.71","2","0.0"
Running,2020-03-05 17:39:30,false,"Bloomington Running","1.19","144","00:13:13","130","141","144","154","11:09","3:50","13","12","1.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","02:10.81","2","0.0"
Running,2020-03-04 11:53:46,false,"Bloomington Running","1.57","194","00:24:01","103","149","118","148","15:19","0:26","6","7","0.89","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","10:13.78","2","0.0"
Walking,2020-03-01 17:41:47,false,"Bloomington Walking","1.98","265","00:36:56","86","121","102","122","18:37","1:57","45","37","0.85","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","18:00.71","2","0.0"
Walking,2020-02-18 14:11:48,false,"Bloomington Walking","1.87","251","00:37:27","94","109","106","148","19:59","2:10","40","40","0.75","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","16:56.24","2","0.0"
Running,2020-02-18 13:43:05,false,"Bloomington Running","2.31","291","00:25:45","135","150","146","152","11:08","2:40","27","35","1.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","03:26.58","3","0.0"
Treadmill Running,2020-02-14 17:29:17,false,"Treadmill Running","2.62","283","00:30:23","127","156","134","156","11:36","5:37","--","--","1.03","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","09:10.04","3","0.0"
Treadmill Running,2020-02-10 17:10:51,false,"Treadmill Running","2.49","284","00:30:08","134","179","132","150","12:06","6:13","--","--","1.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","08:42.49","3","0.0"
Treadmill Running,2020-02-09 13:19:05,false,"Treadmill Running","1.51","186","00:16:39","137","158","138","222","11:00","6:04","--","--","1.06","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","06:05.34","2","0.0"
Running,2020-02-07 13:34:26,false,"Bloomington Running","2.08","298","00:29:52","131","156","130","152","14:19","4:00","38","45","0.86","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","02:18.68","3","0.0"
Treadmill Running,2020-02-05 12:10:47,false,"Treadmill Running","1.31","174","00:14:44","140","157","144","158","11:14","5:35","--","--","1.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","03:42.98","2","0.0"
Running,2020-02-03 12:07:57,false,"Bloomington Running","1.85","230","00:23:06","123","145","130","148","12:27","0:25","9","9","0.98","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","10:26.12","2","0.0"
Running,2020-02-02 15:22:21,false,"Bloomington Running","3.48","556","01:00:16","115","173","106","212","17:20","2:28","81","84","0.87","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","08:22.41","4","0.0"
